user_id,concept_id,hours_since_last_review,review_count,average_correctness,retention_score
560,166,538.815,16,0.7737,0.151
795,169,383.342,19,0.597,0.1231
304,163,259.078,19,0.4048,0.0457
603,94,444.46,14,0.318,0.0331
31,10,302.645,5,0.6555,0.0145
348,194,342.316,1,0.3656,0.0
437,91,488.256,7,0.9569,0.0472
983,127,330.006,6,0.475,0.0
215,5,683.982,19,0.6079,0.0466
277,178,349.596,1,0.8085,0.0064
409,178,692.532,11,0.6554,0.024
993,186,610.412,20,0.5642,0.0599
854,35,641.522,6,0.7407,0.0
35,169,549.677,12,0.4384,0.0
234,125,435.456,4,0.6435,0.0015
822,30,383.754,9,0.9742,0.1603
59,115,397.416,20,0.8493,0.3094
856,96,145.447,14,0.5343,0.2863
282,126,154.757,11,0.9388,0.4913
918,17,25.079,20,0.9124,0.8725
294,113,536.931,18,0.49,0.0269
435,136,90.339,6,0.9539,0.5057
662,144,419.356,13,0.6397,0.041
127,154,99.736,13,0.953,0.7188
558,126,48.38,9,0.6848,0.5018
506,141,384.421,4,0.3677,0.0
784,19,628.692,18,0.3974,0.0
997,160,256.652,4,0.6485,0.0
665,74,661.884,8,0.3174,0.0
410,110,7.916,5,0.8379,0.7736
407,110,335.599,16,0.5154,0.0801
418,196,106.097,2,0.3219,0.0183
815,66,227.704,10,0.7541,0.2695
322,77,17.575,17,0.724,0.6762
167,153,25.933,18,0.3886,0.2769
335,127,513.369,5,0.4269,0.0
23,64,471.442,11,0.8204,0.0901
107,69,150.397,10,0.4058,0.1052
91,166,648.877,7,0.3045,0.0
772,168,495.499,17,0.9998,0.2791
723,30,242.377,15,0.5031,0.1137
697,80,293.806,2,0.9237,0.0
462,154,210.994,18,0.5899,0.2128
718,24,598.115,8,0.9739,0.0415
162,37,355.904,18,0.6009,0.116
901,32,97.854,16,0.8245,0.5973
502,106,145.633,10,0.976,0.54
939,91,213.889,14,0.4976,0.1152
153,65,290.569,9,0.3208,0.0331
498,28,426.904,16,0.614,0.0818
697,128,694.217,3,0.8329,0.0
496,162,188.958,13,0.6948,0.2798
447,43,236.786,1,0.8847,0.0082
167,134,17.733,15,0.4867,0.4595
382,160,268.551,19,0.3476,0.073
239,112,486.218,16,0.4546,0.0719
302,115,693.423,15,0.4601,0.0116
684,34,533.066,17,0.5347,0.0329
631,192,85.398,12,0.5182,0.2908
608,192,640.883,13,0.464,0.0
362,143,603.93,12,0.3853,0.0224
960,181,136.502,10,0.6653,0.2481
88,122,672.76,1,0.798,0.0
343,133,514.294,2,0.9358,0.0
119,166,563.737,10,0.493,0.0
339,8,330.851,6,0.7624,0.0466
962,44,144.892,19,0.6693,0.4234
367,41,575.456,20,0.9187,0.2671
909,127,344.02,10,0.7865,0.1414
496,49,696.566,14,0.4281,0.0088
700,79,110.824,12,0.4864,0.2184
458,99,256.213,5,0.7371,0.0581
266,149,529.726,8,0.8258,0.0291
765,104,412.257,8,0.3551,0.0357
970,5,312.241,3,0.7525,0.0246
264,138,505.309,1,0.4193,0.0
779,86,528.146,7,0.9601,0.0659
262,23,415.867,19,0.9746,0.4199
717,131,230.095,2,0.9014,0.0574
790,55,445.697,11,0.9024,0.1673
450,93,392.802,12,0.9728,0.2127
737,194,574.413,14,0.5002,0.0
273,48,470.663,20,0.6658,0.1264
80,178,357.927,8,0.3937,0.0286
97,93,13.958,8,0.6193,0.6142
448,187,120.614,11,0.3733,0.1189
903,170,242.68,18,0.7842,0.3841
128,167,433.192,12,0.353,0.0175
456,42,570.602,1,0.9017,0.0142
705,159,691.187,9,0.8961,0.0568
203,74,432.06,11,0.9759,0.1678
722,183,524.903,18,0.3191,0.0185
306,199,447.627,14,0.873,0.2103
809,123,310.085,14,0.505,0.0875
580,183,439.162,7,0.4371,0.0
547,107,288.784,15,0.8254,0.2652
177,7,326.894,2,0.384,0.0
464,175,655.967,4,0.9131,0.0282
857,107,406.197,5,0.9127,0.0617
20,9,72.746,10,0.6892,0.4164
759,14,377.349,2,0.5959,0.0204
493,145,686.371,11,0.9226,0.0042
720,185,72.481,18,0.7987,0.6318
664,140,699.269,8,0.3225,0.0092
433,89,711.107,1,0.5884,0.021
309,62,403.933,6,0.6008,0.0
628,84,239.69,2,0.8993,0.0008
141,65,6.713,13,0.9179,0.8949
585,55,11.656,16,0.6805,0.6174
95,26,279.735,6,0.3786,0.0285
650,114,563.92,6,0.7264,0.0081
629,44,678.538,7,0.6223,0.0
85,29,111.863,8,0.596,0.2227
758,56,351.438,14,0.989,0.371
416,160,361.492,7,0.9971,0.0951
787,115,274.128,8,0.5867,0.0227
42,99,388.998,18,0.9542,0.3437
180,119,666.053,16,0.4712,0.0719
494,114,316.022,19,0.4354,0.1109
189,100,99.633,8,0.7597,0.3593
330,169,479.291,19,0.6503,0.132
661,147,23.074,6,0.822,0.6828
145,38,676.913,7,0.3769,0.0014
678,164,676.749,20,0.6377,0.0556
104,36,66.797,5,0.7772,0.3449
176,16,396.863,17,0.6507,0.1278
588,85,574.222,17,0.5004,0.0172
794,79,334.764,19,0.6506,0.2312
171,158,344.976,17,0.7097,0.2198
300,140,698.559,17,0.6852,0.0702
926,12,166.351,8,0.6961,0.1724
990,100,379.18,12,0.61,0.0642
582,160,83.22,12,0.5317,0.3351
448,147,218.106,6,0.3493,0.0
347,101,612.726,8,0.3325,0.0423
613,124,515.985,18,0.6737,0.1172
591,113,440.837,1,0.9011,0.0162
295,47,82.443,2,0.85,0.0651
23,113,612.578,9,0.6754,0.0282
152,136,214.99,16,0.7476,0.3318
959,12,385.42,18,0.9835,0.3989
419,140,168.485,14,0.9771,0.5549
483,50,375.17,18,0.9964,0.4419
468,2,404.959,3,0.3115,0.0
783,152,245.467,3,0.7453,0.0195
65,78,364.511,11,0.8216,0.1621
83,83,292.655,7,0.3722,0.0103
276,125,502.348,18,0.5543,0.0635
487,113,391.83,2,0.4156,0.0138
672,125,632.276,8,0.5692,0.0003
491,189,36.217,6,0.6088,0.3962
442,131,19.667,12,0.4249,0.3803
938,10,136.161,6,0.6473,0.2015
162,45,85.816,19,0.4313,0.2781
572,90,378.882,2,0.9456,0.0
543,95,144.496,2,0.4186,0.0
474,73,12.047,18,0.6588,0.6474
808,37,203.847,11,0.541,0.121
267,22,366.872,17,0.5959,0.0958
954,29,514.407,10,0.5726,0.0199
332,191,315.925,19,0.9851,0.4825
546,80,693.173,10,0.7645,0.0018
521,193,144.006,15,0.3341,0.1078
850,67,370.368,20,0.8846,0.3922
439,63,182.666,16,0.6818,0.329
285,98,580.898,6,0.3816,0.0203
22,190,135.592,16,0.6301,0.3625
364,113,692.372,8,0.3934,0.0
827,8,516.098,14,0.6903,0.0262
10,55,401.164,14,0.5595,0.072
897,197,383.524,4,0.3468,0.0
543,31,261.297,6,0.7575,0.0512
141,168,15.628,4,0.4634,0.3113
303,186,658.932,2,0.8365,0.0
555,43,572.457,11,0.9327,0.0979
316,112,97.53,5,0.4699,0.057
109,120,88.336,14,0.5141,0.3014
666,159,222.178,5,0.3326,0.0
673,160,549.579,1,0.6371,0.0
119,13,362.527,3,0.8882,0.0183
282,64,471.204,11,0.3771,0.0
244,189,4.957,3,0.4174,0.4135
660,71,665.105,18,0.8212,0.1044
731,50,119.711,15,0.7467,0.523
727,126,229.949,3,0.4395,0.0017
939,40,681.975,18,0.4199,0.0
769,30,527.817,7,0.3493,0.0
321,160,368.212,18,0.3124,0.0
108,24,621.368,20,0.5958,0.0518
615,179,44.578,6,0.3755,0.1462
917,50,55.393,7,0.5045,0.2519
976,22,112.138,3,0.9118,0.1469
231,149,190.859,1,0.3345,0.0223
237,36,510.647,11,0.8577,0.0628
38,74,383.574,14,0.5671,0.0571
142,71,307.039,12,0.5883,0.0896
555,102,563.572,20,0.9809,0.2756
547,95,228.697,3,0.6979,0.0308
371,40,61.987,5,0.3256,0.0434
310,47,285.973,18,0.8557,0.3865
830,39,551.933,5,0.6882,0.0
461,12,341.605,8,0.8439,0.0926
809,131,703.558,9,0.4059,0.0532
964,95,616.484,5,0.4838,0.0308
318,22,569.591,11,0.9374,0.1058
203,67,556.803,16,0.6009,0.0603
953,134,418.619,17,0.6575,0.1834
635,58,648.877,10,0.7502,0.0152
291,81,424.913,20,0.6698,0.1704
622,149,268.54,7,0.8254,0.1164
516,135,141.451,17,0.4562,0.2092
906,141,585.522,18,0.9446,0.2316
256,77,267.533,6,0.3376,0.0021
992,97,569.555,2,0.6497,0.0
937,170,707.771,16,0.9984,0.1631
181,175,287.369,2,0.7612,0.0112
165,12,245.663,13,0.6375,0.1959
534,168,122.882,10,0.9668,0.5518
45,179,342.515,10,0.3546,0.0
299,189,471.066,15,0.5957,0.0939
436,54,225.55,13,0.9325,0.4201
970,101,349.936,13,0.7762,0.1709
993,9,386.924,9,0.5579,0.0068
152,22,198.533,14,0.9843,0.5519
892,113,17.416,13,0.8314,0.7995
91,42,155.641,12,0.9841,0.5777
749,45,578.366,15,0.7086,0.082
846,60,200.566,3,0.3057,0.0
891,92,10.445,1,0.9804,0.6172
224,31,306.251,1,0.8768,0.0
894,161,491.538,13,0.6852,0.0779
116,134,541.859,16,0.4126,0.0
519,159,298.3,4,0.9167,0.0443
470,186,411.952,2,0.7461,0.0151
316,121,536.893,7,0.3021,0.0161
23,73,640.309,16,0.6456,0.038
773,196,460.908,9,0.9876,0.092
336,114,497.576,14,0.7102,0.0883
662,93,71.497,20,0.7975,0.6495
411,84,303.014,11,0.7606,0.1525
374,8,640.106,7,0.6631,0.0
887,192,116.138,1,0.7845,0.0162
95,164,223.516,17,0.437,0.1033
737,140,488.295,15,0.5365,0.0845
747,45,649.542,7,0.9226,0.0267
380,186,42.98,13,0.4889,0.3571
263,36,626.819,5,0.5917,0.0178
6,49,159.022,14,0.3724,0.0822
937,15,619.886,9,0.9513,0.0504
948,58,640.305,5,0.4885,0.0108
241,66,558.46,2,0.7067,0.0162
32,159,665.186,1,0.5791,0.0
123,66,692.053,17,0.5427,0.0
68,192,666.171,2,0.4177,0.0
832,61,369.696,10,0.9972,0.2432
892,105,334.115,3,0.5024,0.0
154,119,76.196,14,0.5775,0.3722
747,166,155.977,8,0.4349,0.0611
180,151,469.877,16,0.7393,0.1553
368,174,92.122,2,0.3603,0.0
600,188,678.543,9,0.7641,0.0
720,24,163.86,9,0.6522,0.1782
875,19,63.766,10,0.7532,0.5634
45,90,169.759,6,0.3033,0.0
197,31,35.692,6,0.7714,0.5623
281,99,120.001,20,0.332,0.1396
311,118,423.339,15,0.9422,0.28
999,56,208.553,10,0.8554,0.3334
778,20,576.935,17,0.3867,0.0056
321,193,291.706,2,0.6894,0.0189
972,75,514.198,12,0.9698,0.1682
500,168,510.117,14,0.4698,0.0244
501,125,98.192,1,0.3509,0.0218
434,133,41.21,15,0.5958,0.5476
144,157,606.315,15,0.3967,0.0364
935,54,504.762,11,0.8443,0.0479
14,44,126.399,14,0.9385,0.594
175,200,489.754,19,0.6147,0.1048
230,134,237.552,7,0.9985,0.1915
280,59,41.335,5,0.4331,0.1916
132,130,165.095,9,0.9424,0.3808
18,79,544.302,20,0.5264,0.0649
678,172,281.628,10,0.9313,0.2737
970,102,392.528,19,0.9331,0.367
122,63,98.742,16,0.5442,0.3304
297,139,67.169,3,0.3142,0.0
507,151,172.642,14,0.5118,0.1897
928,75,340.491,18,0.6054,0.1342
695,151,609.91,11,0.9887,0.0727
767,47,549.76,7,0.7828,0.0223
582,48,115.666,17,0.7444,0.4996
418,166,51.924,2,0.7516,0.1663
200,125,162.753,18,0.5774,0.3243
865,8,613.75,2,0.7827,0.0
805,136,371.652,2,0.4958,0.0
26,62,581.066,11,0.8266,0.0743
716,55,266.414,2,0.7563,0.0
85,85,425.324,15,0.8224,0.1155
739,91,428.41,10,0.406,0.039
826,179,451.431,15,0.6866,0.0807
132,88,338.774,16,0.4342,0.0983
434,60,172.633,16,0.5183,0.2035
124,155,308.795,3,0.8543,0.0
568,109,701.839,17,0.5922,0.0089
928,1,196.285,18,0.3349,0.0953
81,127,522.014,11,0.9244,0.1476
398,101,680.233,3,0.3751,0.0222
974,115,407.921,15,0.6481,0.138
301,37,352.577,14,0.6327,0.0888
133,96,87.443,3,0.5794,0.0916
489,130,542.476,17,0.3036,0.0
509,136,656.318,14,0.4779,0.0517
663,137,706.103,1,0.4089,0.0113
314,200,145.593,13,0.4145,0.1441
956,101,662.48,17,0.3885,0.0
522,86,266.908,20,0.8768,0.4808
287,109,445.98,17,0.3707,0.004
961,66,161.417,18,0.5331,0.2813
925,64,179.216,3,0.7059,0.0159
500,139,445.84,1,0.3286,0.0
25,63,349.337,5,0.6675,0.0212
597,150,694.385,18,0.6247,0.0515
556,150,190.782,18,0.9007,0.5202
149,191,632.247,2,0.3813,0.0378
634,27,331.812,20,0.3409,0.0397
841,73,97.312,5,0.403,0.0753
106,155,172.552,10,0.6334,0.2006
724,86,544.226,13,0.3735,0.0
141,132,595.263,3,0.731,0.0
749,148,28.966,8,0.8554,0.7309
420,177,295.516,6,0.6889,0.0953
7,46,356.057,8,0.5509,0.0443
967,53,443.016,7,0.6127,0.0
166,95,468.619,10,0.4697,0.0
597,102,598.087,13,0.8965,0.1063
182,182,197.204,3,0.5265,0.0043
934,8,81.032,15,0.901,0.7266
739,50,134.677,3,0.9761,0.1767
805,183,674.561,13,0.479,0.021
433,123,393.838,4,0.9005,0.0332
468,136,158.139,18,0.8855,0.5807
635,50,565.93,7,0.7279,0.0287
785,125,422.852,1,0.8837,0.0079
847,74,264.792,3,0.5979,0.0513
18,147,13.669,8,0.722,0.6599
664,19,563.715,20,0.584,0.0735
110,57,516.699,6,0.9992,0.0468
288,129,189.086,10,0.6723,0.2464
830,121,191.614,16,0.4661,0.1801
251,169,195.836,5,0.7691,0.103
797,161,482.867,14,0.8306,0.1461
464,3,212.161,9,0.9029,0.2823
233,19,223.806,18,0.3089,0.0873
335,71,271.477,14,0.8231,0.3381
531,192,705.755,7,0.6714,0.0
766,96,331.541,10,0.8085,0.1252
607,179,272.022,18,0.6692,0.2791
934,12,338.682,8,0.5308,0.0066
868,193,517.967,11,0.3246,0.0147
754,13,636.315,18,0.5242,0.0068
604,162,713.382,4,0.7592,0.0
290,176,350.223,17,0.3068,0.0
413,59,331.573,17,0.945,0.3971
119,61,238.159,11,0.5795,0.1221
375,117,561.057,5,0.344,0.0
927,145,472.194,3,0.9174,0.0
426,25,261.941,16,0.4265,0.0754
114,48,373.591,8,0.3408,0.0
652,151,148.588,11,0.3549,0.0533
963,162,499.828,2,0.6696,0.0149
868,31,181.903,11,0.5001,0.1155
275,178,251.998,2,0.8893,0.0062
454,174,49.511,11,0.6819,0.5281
532,174,158.697,17,0.4947,0.2028
248,49,140.718,20,0.709,0.482
269,134,529.553,17,0.9608,0.2527
237,33,500.17,12,0.9037,0.1343
995,40,387.694,15,0.3955,0.0049
747,15,278.987,1,0.9104,0.0226
841,99,640.433,14,0.5564,0.0
817,143,636.598,20,0.5691,0.0517
960,40,434.24,4,0.6528,0.0
106,38,473.894,6,0.8377,0.0057
882,56,573.546,20,0.5958,0.0447
67,40,520.537,10,0.7627,0.0263
476,167,162.317,15,0.4191,0.1149
595,34,362.668,17,0.5066,0.0498
358,56,109.782,20,0.9635,0.7728
147,62,582.85,2,0.594,0.0
193,41,470.749,8,0.8085,0.0334
825,189,704.956,5,0.3557,0.0086
319,42,98.719,17,0.3212,0.1579
311,98,367.551,18,0.3369,0.0229
924,114,521.425,18,0.791,0.1543
144,53,624.553,3,0.3397,0.0
916,95,614.52,14,0.7214,0.0614
921,35,145.839,11,0.4755,0.1746
599,97,707.28,15,0.3983,0.0
166,4,706.576,4,0.7849,0.0095
156,88,697.738,3,0.6807,0.0
285,73,441.994,8,0.9239,0.0631
578,71,599.077,8,0.8091,0.0113
154,23,55.206,16,0.5259,0.3969
456,200,184.304,4,0.3886,0.0
116,6,66.691,20,0.7461,0.6476
541,30,364.251,1,0.5432,0.0137
22,21,694.623,12,0.4159,0.0
710,196,467.578,11,0.7011,0.095
56,64,332.371,8,0.7632,0.0607
195,87,570.945,3,0.4999,0.0
175,151,396.467,2,0.8052,0.0021
831,11,329.777,6,0.3477,0.0
54,14,453.302,9,0.8108,0.0703
430,37,368.741,4,0.374,0.0
592,136,462.092,17,0.7835,0.1923
516,196,577.997,20,0.6046,0.0595
681,125,333.21,16,0.4063,0.0925
804,175,299.108,17,0.3148,0.0176
394,177,402.46,8,0.8917,0.1202
829,56,651.47,18,0.9158,0.1421
318,37,304.836,4,0.559,0.0462
985,33,610.456,13,0.7615,0.0545
505,159,444.549,11,0.9088,0.1359
737,134,9.42,10,0.3627,0.2616
876,173,343.128,17,0.6542,0.1471
793,102,151.98,7,0.5974,0.1066
852,196,108.689,12,0.4509,0.1664
537,179,169.178,10,0.4755,0.1227
44,162,513.086,11,0.9426,0.1079
494,161,451.902,7,0.7864,0.0247
182,25,386.766,15,0.7372,0.1755
890,149,356.846,12,0.7531,0.0644
237,190,280.514,3,0.5893,0.0
229,59,638.386,9,0.8513,0.0768
250,163,671.401,13,0.8221,0.0855
643,71,550.513,2,0.6054,0.0106
572,43,207.878,2,0.4027,0.0022
949,147,658.025,11,0.3682,0.0348
417,34,589.868,4,0.8564,0.0143
283,97,89.737,12,0.792,0.5292
50,188,246.337,2,0.6149,0.008
8,32,236.212,18,0.3953,0.1183
374,32,525.769,13,0.8414,0.1439
926,189,377.445,13,0.5514,0.0253
524,156,192.523,20,0.8437,0.5266
894,93,166.557,13,0.7895,0.4247
102,82,329.675,3,0.951,0.0
94,193,479.656,18,0.3475,0.0083
834,145,366.528,10,0.7504,0.138
107,182,188.314,14,0.8548,0.4485
52,19,446.579,18,0.504,0.045
405,107,719.217,10,0.8158,0.0
925,146,127.613,18,0.5084,0.2805
690,8,380.683,20,0.7445,0.2408
100,103,270.785,9,0.7764,0.1849
838,12,157.65,1,0.9266,0.0
844,181,630.417,15,0.9656,0.1788
801,137,689.616,17,0.9978,0.1818
903,38,252.466,1,0.7857,0.0
240,105,250.376,20,0.7053,0.3284
980,22,66.523,16,0.778,0.6531
321,161,444.973,4,0.8231,0.0217
803,40,19.599,15,0.871,0.8228
580,122,357.523,14,0.5037,0.0448
780,16,110.45,12,0.7962,0.5094
628,32,484.233,12,0.4344,0.0112
643,197,668.851,3,0.3721,0.0
617,78,64.379,19,0.8552,0.7013
779,25,560.084,6,0.7061,0.0
740,140,598.094,6,0.6332,0.0
135,41,127.28,4,0.5788,0.0372
827,118,664.341,5,0.479,0.0668
537,162,447.25,2,0.7103,0.0
324,137,385.387,17,0.3596,0.0475
515,50,483.581,18,0.7877,0.2019
967,48,207.795,2,0.6413,0.0
858,45,18.783,4,0.7414,0.5895
834,127,318.556,9,0.3221,0.0549
463,135,535.338,5,0.562,0.0
785,105,661.469,4,0.5798,0.0229
386,80,309.96,15,0.7045,0.2036
687,13,190.195,18,0.9313,0.5907
640,168,94.967,7,0.8017,0.349
250,133,673.588,11,0.8643,0.0451
267,128,166.665,9,0.8311,0.3287
62,21,656.016,8,0.4369,0.0
140,58,132.713,2,0.6594,0.0464
434,61,13.547,15,0.8145,0.7764
478,120,161.827,19,0.6751,0.3951
166,158,355.062,16,0.9646,0.3605
417,174,251.393,20,0.6627,0.2897
605,105,653.605,17,0.6835,0.0619
233,73,392.688,8,0.3839,0.0
339,82,85.235,17,0.3554,0.2084
368,148,450.426,5,0.3412,0.0138
506,64,280.347,8,0.4048,0.0474
367,84,488.998,15,0.7703,0.1209
737,158,566.154,6,0.4247,0.0
328,109,709.604,16,0.3756,0.0067
434,94,415.397,4,0.729,0.0065
380,147,264.377,4,0.9008,0.0658
183,58,312.475,16,0.3231,0.0
686,13,290.186,10,0.6543,0.1012
236,158,324.662,19,0.4342,0.1131
297,91,22.127,4,0.9401,0.7578
793,66,178.453,15,0.593,0.2865
949,20,711.194,5,0.7531,0.0
671,186,668.206,10,0.6043,0.0
917,146,35.244,10,0.8725,0.7435
855,55,705.308,17,0.6449,0.0559
481,122,570.311,8,0.9621,0.0273
771,93,2.477,8,0.5513,0.5474
329,66,657.737,10,0.805,0.0296
461,63,691.486,20,0.362,0.0
536,16,452.891,8,0.4135,0.0272
961,195,567.703,11,0.6707,0.0
849,186,239.757,2,0.4815,0.0177
490,175,412.285,13,0.3413,0.0
653,64,526.85,2,0.4734,0.0044
203,200,404.327,1,0.4896,0.0024
805,56,219.663,6,0.7362,0.095
554,165,467.6,4,0.4163,0.0271
533,21,603.742,11,0.9498,0.1066
767,63,602.008,5,0.5009,0.0
633,116,95.597,5,0.9745,0.4316
73,194,320.98,18,0.5965,0.1867
289,54,28.373,13,0.8126,0.7401
177,87,455.776,1,0.7748,0.0135
735,169,174.736,16,0.4967,0.2002
36,95,669.89,15,0.6105,0.0505
203,137,445.335,18,0.4605,0.0686
598,84,288.744,11,0.9192,0.2886
695,1,526.788,19,0.9204,0.2571
504,57,149.718,19,0.5518,0.3457
861,114,66.285,8,0.5861,0.3175
919,4,63.371,2,0.5119,0.0167
133,47,419.828,19,0.5093,0.0759
953,191,640.041,14,0.3612,0.0061
615,4,160.774,18,0.7479,0.447
637,50,547.355,2,0.8377,0.0
96,124,27.57,7,0.5385,0.3943
622,113,254.728,1,0.6512,0.0281
726,41,470.849,8,0.3154,0.0
581,12,594.987,16,0.741,0.0952
85,180,679.126,4,0.5275,0.0
524,111,455.634,8,0.4034,0.0
936,115,333.394,18,0.3078,0.0
724,12,44.128,7,0.5989,0.3863
138,42,198.828,11,0.7689,0.2447
960,15,664.679,9,0.468,0.0039
959,196,419.894,5,0.4175,0.0
170,154,247.056,19,0.7291,0.3579
801,110,179.524,17,0.7155,0.3334
407,137,82.276,8,0.5135,0.1803
594,34,541.28,18,0.8955,0.2107
446,198,297.205,10,0.7179,0.1272
783,104,674.347,13,0.8707,0.0972
997,104,327.435,6,0.9467,0.0814
796,192,589.322,8,0.7726,0.0
932,20,94.206,19,0.5046,0.3633
947,85,109.078,5,0.7741,0.2234
91,18,197.076,9,0.5947,0.0906
254,86,138.093,16,0.427,0.1921
722,54,703.265,7,0.422,0.0003
591,93,581.958,16,0.4076,0.0311
51,141,251.183,8,0.6255,0.0509
96,57,374.513,11,0.7161,0.0999
521,11,384.172,20,0.9822,0.4178
617,33,437.387,15,0.7713,0.1658
168,144,75.052,19,0.4624,0.3063
172,116,251.591,4,0.8847,0.0461
130,196,62.326,17,0.9887,0.876
565,179,661.767,11,0.589,0.0099
8,33,290.785,16,0.9161,0.3925
573,148,523.589,7,0.8209,0.0537
