response_time_ms,retry_count,incorrect_streak,skip_rate,session_duration_minutes,time_of_day_hour,questions_answered,recent_accuracy,engagement_score,confusion_score
22704,0,3,0.1269,32.67,11,11,0.2866,0.5942,0.2361
9692,0,3,0.1876,52.95,14,69,0.6864,0.718,0.2846
11401,0,4,0.0952,39.76,15,92,0.6109,0.5245,0.2474
13967,1,0,0.1095,78.26,13,63,0.6744,0.7957,0.0753
30966,0,0,0.1271,17.88,6,16,0.4971,0.4463,0.1489
26709,0,1,0.0156,63.36,15,60,0.4468,0.7646,0.1323
33286,0,1,0.0122,26.03,17,65,0.7528,0.559,0.2245
19873,1,4,0.0953,63.66,16,88,0.8737,0.7516,0.4495
26902,2,8,0.1819,62.47,9,92,0.1894,0.5816,0.6504
32507,0,4,0.0878,10.45,12,73,0.6316,0.361,0.2931
21288,0,0,0.016,74.94,2,25,0.5922,0.8116,0.0
30481,0,1,0.029,59.78,11,50,0.6324,0.775,0.0913
17057,0,4,0.1474,33.17,20,82,0.6548,0.6276,0.2932
20643,0,1,0.098,63.52,1,17,0.9126,0.7368,0.0
20419,0,0,0.1323,70.28,6,81,0.8379,0.7692,0.0
10650,0,1,0.0275,19.42,0,81,0.5626,0.5566,0.1929
30844,0,3,0.1267,13.03,23,1,0.7359,0.4941,0.1867
19367,0,3,0.0908,11.88,3,11,0.1175,0.3126,0.248
25150,2,3,0.0381,55.78,9,41,0.8226,0.7011,0.558
30769,1,0,0.0309,80.06,11,55,0.7598,0.9126,0.1791
30358,0,1,0.0696,25.34,23,90,0.7605,0.6517,0.0726
32985,0,0,0.0236,87.11,18,1,0.4604,0.7902,0.0992
23818,0,0,0.0267,41.79,14,50,0.7597,0.677,0.0573
19920,0,4,0.0584,43.11,7,40,0.445,0.6384,0.3008
24043,1,0,0.0174,62.28,16,66,0.7261,0.7554,0.0436
4752,0,3,0.0208,57.76,9,66,0.4946,0.7968,0.0556
7635,0,3,0.2807,84.87,22,83,0.3965,0.8063,0.3177
9128,2,0,0.0402,64.47,10,94,0.8744,0.7632,0.1651
13033,0,0,0.0747,35.7,2,1,0.4953,0.6646,0.2201
29797,0,1,0.1102,32.98,12,51,0.4716,0.4368,0.1327
14134,0,1,0.1177,68.38,1,55,0.6714,0.6818,0.1041
20462,0,1,0.0515,52.01,20,88,0.3105,0.697,0.1321
40591,0,0,0.0248,22.23,15,82,0.6056,0.4064,0.1505
20725,2,0,0.0441,12.06,20,43,0.6208,0.4656,0.1312
33850,0,2,0.0482,87.3,0,20,0.4758,0.8656,0.1637
13797,0,1,0.0555,65.8,5,13,0.5476,0.8311,0.1331
22535,0,5,0.2366,70.52,8,48,0.7749,0.6038,0.2996
13600,0,0,0.2431,42.14,10,5,0.7519,0.5783,0.0
20932,1,1,0.1998,54.69,10,69,0.7208,0.6784,0.1918
35084,0,1,0.036,22.79,13,64,0.9164,0.5137,0.121
4272,2,1,0.2306,11.55,11,18,0.5165,0.5305,0.3221
30213,0,0,0.0482,67.95,20,61,0.8663,0.8183,0.0911
27853,1,0,0.0903,77.65,13,96,0.8512,0.8322,0.2594
17870,0,0,0.0546,53.56,20,45,0.8455,0.7341,0.0
7647,0,0,0.0607,45.1,6,67,0.9399,0.6611,0.0
25866,1,1,0.0542,41.2,18,32,0.7243,0.6927,0.0321
18646,0,3,0.1361,32.58,0,47,0.2559,0.5367,0.3124
27792,1,1,0.0472,86.94,5,92,0.6712,0.9427,0.2397
25262,0,1,0.0282,17.32,22,53,0.4458,0.4477,0.1852
44221,1,1,0.0732,36.92,13,64,0.7044,0.435,0.3145
22128,0,2,0.0796,12.68,20,83,0.7415,0.4707,0.0639
12718,0,2,0.162,57.15,15,13,0.8464,0.7253,0.0633
27151,2,1,0.0725,50.88,1,61,0.557,0.7002,0.2911
27640,0,0,0.0635,20.54,3,94,0.6421,0.4115,0.0225
41310,1,1,0.0334,35.53,13,84,0.8522,0.6764,0.1297
35021,3,2,0.0133,38.93,7,73,0.7086,0.6138,0.4942
29282,0,0,0.008,68.51,11,100,0.4479,0.7315,0.0996
42560,1,0,0.1246,68.29,14,69,0.4919,0.7442,0.2348
10735,2,4,0.0462,85.85,7,13,0.4888,0.8867,0.3921
17323,0,5,0.0891,74.53,19,67,0.3008,0.6628,0.4197
13881,0,3,0.0095,13.85,4,35,0.248,0.4959,0.1688
20322,0,3,0.0209,40.87,15,18,0.8756,0.6965,0.1792
8480,2,8,0.1333,44.8,17,93,0.8968,0.6675,0.581
32622,3,0,0.1087,32.72,6,26,0.5172,0.5328,0.3408
22333,2,0,0.0432,82.54,14,60,0.728,0.9054,0.2386
7350,0,2,0.0891,87.41,13,74,0.6265,0.8968,0.1058
12813,0,8,0.1963,20.92,21,48,0.1366,0.3615,0.4612
28762,0,2,0.0604,10.76,11,86,0.3847,0.3212,0.1709
35058,3,6,0.1515,27.18,2,29,0.533,0.5379,0.6277
48961,2,6,0.084,11.73,23,91,0.5211,0.5363,0.5025
59966,0,4,0.0208,43.22,13,10,0.8228,0.7005,0.2174
29973,0,2,0.0971,79.66,22,78,0.6145,0.7111,0.2278
13126,2,3,0.0529,44.06,18,47,0.5522,0.5657,0.4143
3000,2,2,0.1307,49.04,19,7,0.4325,0.6632,0.2389
28213,3,1,0.0985,62.46,19,29,0.6864,0.6948,0.257
15245,0,0,0.0187,46.19,19,35,0.6752,0.7109,0.0925
20016,0,0,0.1203,68.75,16,61,0.7543,0.7777,0.0
17655,0,0,0.0242,66.93,16,33,0.333,0.8007,0.0839
23311,0,2,0.2082,25.18,9,94,0.7066,0.4757,0.2117
37792,2,1,0.0689,61.27,10,88,0.7694,0.6641,0.2571
26885,0,0,0.1238,58.12,1,47,0.6763,0.7194,0.0749
23096,0,3,0.0409,44.72,18,28,0.3046,0.6968,0.2065
12572,2,2,0.1001,71.39,1,27,0.6717,0.7971,0.3625
4904,0,1,0.031,27.94,9,8,0.6874,0.6219,0.059
19164,0,6,0.0138,30.93,7,19,0.4516,0.5531,0.4054
24355,1,1,0.0608,23.56,12,44,0.6688,0.5699,0.1447
46215,0,1,0.0348,11.54,2,98,0.7946,0.4535,0.2705
26563,0,5,0.0303,73.98,14,38,0.7292,0.9069,0.3675
36793,1,5,0.2275,89.55,7,69,0.8606,0.7509,0.575
19008,0,2,0.0515,38.12,5,56,0.7951,0.7267,0.0924
10781,1,1,0.2121,20.3,20,74,0.9163,0.4662,0.2564
13419,2,0,0.0513,77.43,0,74,0.39,0.8493,0.2443
16297,0,0,0.0882,23.65,8,39,0.6387,0.559,0.0
50542,0,4,0.1506,27.24,0,59,0.8116,0.3588,0.3195
15143,0,1,0.0445,16.98,15,59,0.6174,0.5754,0.0964
35062,1,5,0.0303,50.34,12,17,0.9068,0.6287,0.4248
14165,0,1,0.034,44.8,20,81,0.5823,0.6348,0.0224
36179,0,0,0.0837,54.9,6,11,0.435,0.5729,0.0634
29619,1,0,0.0583,38.95,14,34,0.6644,0.5831,0.254
23120,0,1,0.0677,24.29,19,43,0.2724,0.6067,0.1231
24511,0,8,0.0168,14.58,0,39,0.9309,0.6449,0.4951
17143,1,3,0.1362,39.65,5,79,0.1493,0.5344,0.1611
30353,0,1,0.0274,88.49,12,55,0.9917,0.905,0.1151
19540,1,0,0.0422,40.25,6,70,0.4055,0.6382,0.1764
10293,0,1,0.1041,58.58,5,78,0.6522,0.6616,0.1677
9665,0,0,0.0987,48.1,3,98,0.5887,0.7017,0.0
27071,0,1,0.1645,56.45,19,48,0.6697,0.7703,0.1606
43949,1,0,0.1575,45.08,6,89,0.1723,0.5882,0.1757
26920,0,0,0.0562,34.92,5,91,0.9229,0.5434,0.1324
23576,1,6,0.2598,11.66,14,44,0.7875,0.3648,0.5284
28430,0,3,0.1573,52.2,1,46,0.6499,0.5816,0.2387
40672,1,5,0.1003,88.01,21,98,0.8372,0.8455,0.2833
27633,0,0,0.0174,19.44,0,37,0.7397,0.4531,0.277
20069,1,1,0.014,51.96,13,7,0.7806,0.7422,0.1692
38275,0,1,0.0817,65.05,15,59,0.3749,0.7693,0.1291
30145,0,0,0.0831,27.3,1,94,0.344,0.4628,0.1498
43429,0,1,0.1297,61.41,18,83,0.9089,0.6922,0.2408
27199,0,7,0.0437,31.67,3,62,0.6913,0.5244,0.3705
10306,0,1,0.0004,61.33,7,26,0.5914,0.7771,0.1332
8582,0,0,0.0531,28.21,10,83,0.4702,0.4642,0.0
44811,3,0,0.0315,54.14,19,78,0.6045,0.679,0.301
45684,2,0,0.1307,56.8,0,97,0.7191,0.5573,0.1813
22846,3,1,0.0338,42.46,23,79,0.8845,0.6889,0.3063
20402,0,2,0.0222,33.14,5,57,0.3117,0.5728,0.2281
42537,0,4,0.0111,32.66,10,53,0.8704,0.5279,0.172
11715,0,1,0.2451,43.12,5,66,0.3841,0.3225,0.0074
14263,1,2,0.0316,67.62,13,32,0.6638,0.8074,0.1397
32720,3,0,0.0757,37.23,8,42,0.8408,0.6781,0.3399
20265,0,0,0.0143,22.35,22,73,0.3182,0.5857,0.1241
24939,0,4,0.0456,38.93,16,10,0.3763,0.618,0.3617
23039,0,0,0.1589,80.43,16,29,0.7457,0.7681,0.0
29051,0,3,0.0218,49.16,21,25,0.5593,0.6847,0.1861
41890,2,4,0.0557,33.35,17,1,0.4028,0.5492,0.4509
26087,0,7,0.0072,13.27,11,35,0.8137,0.4883,0.5185
32727,0,0,0.1315,40.09,10,1,0.7508,0.5339,0.0791
3000,0,4,0.052,64.64,23,51,0.9794,0.8819,0.218
24415,0,0,0.1706,27.08,8,80,0.7961,0.536,0.1621
14881,0,0,0.0322,70.53,12,63,0.7938,0.7728,0.034
10374,1,2,0.1627,30.68,10,31,0.7033,0.5802,0.3501
14462,0,0,0.0179,61.91,2,66,0.325,0.7158,0.0309
20991,0,2,0.0705,55.64,15,72,0.6745,0.7292,0.1445
35991,0,3,0.0033,10.87,6,82,0.6921,0.5316,0.3632
9083,0,5,0.1445,88.84,6,33,0.955,0.9252,0.3705
25368,0,0,0.0337,32.05,8,30,0.7093,0.5906,0.0461
19190,0,0,0.0195,55.3,9,75,0.4054,0.808,0.0021
21068,1,2,0.0654,83.16,18,39,0.9135,0.9183,0.3258
37033,0,2,0.0419,36.92,11,32,0.8556,0.5928,0.1969
31457,2,3,0.0136,36.1,3,76,0.3532,0.5654,0.2966
41049,0,0,0.1383,31.69,7,68,0.7715,0.567,0.1718
23146,0,3,0.0058,24.4,20,86,0.481,0.5057,0.1118
16649,1,2,0.1089,69.79,8,70,0.6175,0.7808,0.2014
22314,0,0,0.1774,28.94,3,35,0.5091,0.549,0.0
27910,2,0,0.0759,83.04,21,24,0.9601,0.8706,0.2881
27119,0,7,0.0663,67.54,0,36,0.8345,0.847,0.4911
11987,0,3,0.0364,49.59,3,95,0.9389,0.7636,0.1686
26086,2,0,0.1348,33.43,23,81,0.7419,0.5147,0.2299
27739,0,0,0.1139,30.45,15,96,0.4288,0.5258,0.0631
55210,0,3,0.088,85.3,22,61,0.5422,0.7809,0.4028
47522,2,0,0.1635,43.53,23,48,0.7642,0.6738,0.3301
14761,0,0,0.142,17.96,10,72,0.7245,0.5083,0.0426
21551,1,2,0.0337,10.18,6,18,0.6937,0.4385,0.1145
7439,0,1,0.1011,40.1,12,41,0.7231,0.4918,0.1436
17912,2,0,0.0392,38.26,11,87,0.8183,0.6889,0.2439
28787,0,5,0.1217,51.93,16,61,0.3337,0.6468,0.3183
39470,0,3,0.0174,45.98,5,21,0.8184,0.7308,0.1832
16251,3,0,0.0371,23.71,13,85,0.4435,0.5184,0.277
17150,1,8,0.0178,40.44,3,23,0.4593,0.7629,0.5656
3000,1,1,0.0484,45.75,22,34,0.6629,0.8292,0.1704
23048,0,0,0.0763,87.9,8,22,0.945,0.9528,0.0
12251,1,0,0.0647,29.33,14,87,0.8994,0.5632,0.0285
18647,0,2,0.1434,16.12,1,88,0.9035,0.5549,0.1691
14478,0,2,0.1432,55.65,10,66,0.8551,0.7045,0.0863
23869,0,1,0.1813,19.17,22,95,0.5882,0.4261,0.2065
3907,0,1,0.0281,83.76,0,65,0.8108,0.9636,0.1229
7395,0,1,0.0471,63.39,21,85,0.857,0.7813,0.0
50551,1,0,0.0584,71.75,4,41,0.4895,0.6896,0.3172
9551,0,1,0.0066,58.37,15,88,0.5132,0.8126,0.1056
11839,0,5,0.0265,87.56,9,29,0.4219,0.9177,0.4134
47043,0,4,0.2388,33.67,7,83,0.7956,0.604,0.4475
59861,0,2,0.0239,88.41,7,93,0.4201,0.8154,0.2558
10941,0,5,0.0893,30.13,15,78,0.7143,0.6406,0.3597
20581,0,7,0.2227,25.57,11,34,0.8724,0.5385,0.3851
29099,0,3,0.0877,28.75,16,46,0.7885,0.4458,0.2707
45744,1,0,0.0314,65.74,18,40,0.793,0.7557,0.2215
13158,0,0,0.1743,49.83,0,22,0.7623,0.6731,0.0
22057,0,3,0.1497,34.14,3,48,0.6267,0.5827,0.2145
34328,0,2,0.0619,22.46,1,91,0.7474,0.489,0.2162
30217,0,2,0.255,38.32,1,93,0.6435,0.4511,0.2647
20486,0,2,0.1228,60.33,16,58,0.4688,0.6188,0.2107
23394,0,0,0.0919,12.81,5,12,0.5334,0.4853,0.0596
8501,0,0,0.0762,51.21,9,94,0.8945,0.7553,0.0
22142,1,0,0.0177,84.7,9,12,0.7466,0.7946,0.0001
21803,0,2,0.0239,51.81,16,96,0.8102,0.7017,0.2964
27786,0,2,0.1198,65.76,10,76,0.1957,0.7684,0.2089
18336,1,0,0.1795,63.18,6,67,0.5536,0.7372,0.0
30658,0,1,0.0553,41.85,10,48,0.5478,0.5479,0.132
37153,0,0,0.0321,68.28,5,44,0.9131,0.7151,0.1419
26865,2,1,0.0144,51.19,8,68,0.7346,0.6906,0.2901
29221,0,1,0.0095,78.16,9,36,0.4823,0.8882,0.1524
25638,1,1,0.1085,26.54,16,48,0.6709,0.5428,0.26
25001,1,4,0.0614,38.63,9,9,0.2064,0.6182,0.3424
16341,0,0,0.0679,58.05,12,75,0.6416,0.7908,0.1768
28798,0,0,0.0079,54.17,2,99,0.5878,0.72,0.2553
23833,0,1,0.0247,37.78,9,99,0.8694,0.6324,0.0275
50118,0,3,0.0882,83.64,10,84,0.547,0.7234,0.2811
43880,0,5,0.1303,73.43,10,10,0.6654,0.764,0.4945
29630,2,1,0.0695,60.51,3,41,0.5651,0.7307,0.2958
15843,0,5,0.0124,24.14,13,63,0.383,0.5606,0.3227
11651,1,2,0.0462,19.69,7,8,0.5591,0.5085,0.1192
39294,0,4,0.1734,11.98,17,33,0.7893,0.4814,0.3953
28153,0,1,0.1479,56.07,6,33,0.4005,0.729,0.1928
30762,0,0,0.1061,31.76,15,6,0.9919,0.4809,0.1219
4065,0,3,0.0785,57.15,11,32,0.2114,0.6596,0.1808
36129,0,2,0.1616,79.03,19,71,0.7281,0.7744,0.1242
30453,0,2,0.1083,51.71,17,66,0.6515,0.6584,0.0912
11675,1,3,0.2057,59.05,8,72,0.9138,0.726,0.2239
19342,2,2,0.0115,31.71,6,8,0.2678,0.6143,0.4096
28165,0,0,0.1312,22.14,3,47,0.6622,0.5129,0.1353
25630,0,0,0.0838,75.97,16,69,0.6075,0.8254,0.1048
21494,1,0,0.0217,31.17,15,65,0.5578,0.5044,0.0895
23758,0,3,0.0372,14.89,10,8,0.5462,0.4896,0.2844
21976,1,2,0.1031,11.58,16,50,0.4753,0.4618,0.2644
26831,0,1,0.0279,61.63,10,80,0.5983,0.8861,0.0515
42658,0,0,0.1241,58.72,8,28,0.7063,0.6913,0.0
3000,0,0,0.0179,52.47,21,56,0.8141,0.7878,0.0
22158,0,2,0.1036,61.32,20,89,0.632,0.6845,0.1936
27118,1,0,0.0174,61.41,13,63,0.4786,0.6786,0.1686
28552,0,2,0.0029,28.0,17,64,0.7442,0.5961,0.2839
20537,2,1,0.1603,19.5,5,17,0.486,0.4152,0.2549
3919,0,2,0.1582,14.19,20,80,0.5189,0.4837,0.2144
28936,1,4,0.0142,42.78,5,45,0.8818,0.6516,0.4335
45728,1,5,0.0115,69.37,4,11,0.3923,0.6909,0.4648
6594,0,6,0.1205,73.42,20,12,0.5847,0.839,0.4108
35366,2,1,0.0611,66.69,14,26,0.5085,0.8137,0.3288
21058,0,3,0.095,59.59,18,49,0.5996,0.8,0.2426
24264,0,2,0.1833,16.58,2,100,0.6679,0.4791,0.2177
12365,0,1,0.0708,32.14,17,46,0.5179,0.604,0.2656
20987,0,2,0.0637,59.94,7,13,0.5332,0.6755,0.0679
40601,0,3,0.1006,46.67,21,28,0.5166,0.4746,0.2383
31992,0,4,0.0494,39.26,8,38,0.3805,0.6678,0.3025
45788,2,0,0.0121,21.69,15,47,0.8752,0.6224,0.3166
39129,1,0,0.0331,61.17,3,96,0.9416,0.7574,0.1476
30269,2,0,0.0287,31.16,2,73,0.4689,0.6364,0.2889
45927,1,4,0.0672,15.8,12,80,0.883,0.532,0.3705
30268,0,2,0.0667,14.27,12,72,0.5823,0.4581,0.2545
34936,2,2,0.0223,72.05,7,52,0.7915,0.7549,0.2982
21441,0,3,0.0746,56.65,15,10,0.7346,0.8095,0.3337
25799,2,0,0.0682,40.39,19,36,0.7072,0.6542,0.1193
16631,0,2,0.2323,37.4,3,12,0.8507,0.6118,0.129
36875,0,0,0.064,46.38,11,70,0.4303,0.5697,0.0268
10860,0,2,0.0194,65.05,3,10,0.4746,0.7997,0.1029
34388,0,0,0.1406,74.76,13,77,0.585,0.7065,0.0
22712,0,0,0.0012,15.34,13,72,0.6535,0.4659,0.0827
39055,2,2,0.0785,34.33,6,60,0.568,0.58,0.3309
34010,0,6,0.0201,31.67,11,47,0.62,0.5489,0.4462
46848,0,1,0.1664,76.75,18,81,0.8061,0.7475,0.1816
33769,2,2,0.057,87.51,1,69,0.2594,0.801,0.4107
6136,2,4,0.0175,15.73,4,32,0.577,0.5229,0.5228
24197,1,0,0.0277,66.81,23,28,0.7583,0.8307,0.1114
10936,0,4,0.0756,88.86,11,73,0.4531,0.8952,0.3932
18781,0,2,0.0323,76.88,3,69,0.8076,0.8329,0.2907
43135,1,0,0.0576,24.94,20,69,0.5984,0.3963,0.0984
32650,0,1,0.068,63.0,22,94,0.499,0.6694,0.0414
16613,0,4,0.1436,62.6,13,18,0.756,0.7067,0.224
12835,0,1,0.033,13.28,13,28,0.5355,0.4986,0.0807
25393,1,3,0.1372,54.41,11,59,0.9133,0.7853,0.3487
10401,0,0,0.044,34.63,0,77,0.7393,0.7193,0.2308
16946,2,0,0.2069,54.18,20,36,0.3366,0.5308,0.0644
28744,1,3,0.2297,33.28,22,98,0.5591,0.505,0.2693
38864,3,1,0.1763,51.43,20,56,0.7225,0.5875,0.3775
32305,0,2,0.1718,84.94,0,6,0.4701,0.7137,0.2193
3000,0,8,0.1424,67.34,1,86,0.3144,0.7414,0.4792
28652,0,8,0.0451,15.93,14,3,0.7429,0.4541,0.446
25864,3,1,0.0702,13.81,2,66,0.8558,0.4644,0.4209
29967,0,2,0.0103,36.95,14,36,0.9823,0.7622,0.1867
44395,0,0,0.0986,41.08,23,55,0.6438,0.6246,0.2021
3000,0,2,0.1461,77.22,23,11,0.2906,0.6106,0.1342
17907,0,4,0.0793,84.88,8,39,0.7685,0.8532,0.2888
32091,0,0,0.0066,54.08,15,29,0.7204,0.7638,0.0
6021,0,0,0.0661,42.98,14,69,0.4334,0.6971,0.0
42711,0,1,0.0363,86.13,14,25,0.8483,0.7496,0.1203
29420,0,1,0.0454,73.61,12,56,0.5803,0.8411,0.2013
35159,0,0,0.0977,79.58,23,38,0.7961,0.7451,0.0028
18149,0,1,0.0593,71.68,20,10,0.6208,0.7911,0.082
34765,0,0,0.0145,73.13,3,15,0.6097,0.7892,0.0983
37822,0,7,0.0612,34.28,0,27,0.9008,0.5994,0.4594
27795,0,2,0.1773,88.84,7,82,0.4369,0.7442,0.2182
27813,0,2,0.1029,77.75,14,60,0.9095,0.777,0.1968
28244,0,0,0.0759,31.31,10,33,0.7319,0.5432,0.0852
14640,0,0,0.0345,29.76,10,43,0.3274,0.5937,0.0814
23230,0,1,0.1319,62.43,15,13,0.9172,0.7017,0.0798
23170,0,0,0.0972,20.37,1,52,0.4885,0.4667,0.1976
29601,0,0,0.0167,34.73,1,88,0.5719,0.6531,0.0
36998,0,0,0.0055,24.77,6,51,0.4122,0.5107,0.0321
12298,0,6,0.0982,43.97,1,82,0.8038,0.6219,0.4649
23500,0,6,0.0599,23.36,3,79,0.594,0.4771,0.4005
42777,1,2,0.0633,72.14,14,37,0.736,0.6456,0.3639
16077,0,1,0.1204,57.86,11,90,0.7268,0.757,0.0
15133,0,1,0.185,23.31,12,32,0.6432,0.5435,0.0948
27428,0,8,0.1344,24.42,16,41,0.7031,0.5175,0.4504
35133,0,0,0.111,43.71,15,60,0.3099,0.5366,0.3397
25137,1,1,0.0773,17.08,3,50,0.4422,0.5106,0.2332
40948,1,2,0.0499,37.72,17,38,0.7653,0.541,0.334
35282,0,3,0.1247,65.41,19,67,0.5651,0.7083,0.161
35102,0,0,0.072,37.7,9,37,0.5987,0.5278,0.0495
31649,0,0,0.0539,59.52,21,55,0.7123,0.6853,0.1029
52932,0,0,0.021,14.59,13,66,0.6253,0.4566,0.18
22538,0,0,0.0514,55.55,1,27,0.2738,0.6697,0.0979
3000,0,3,0.0329,31.99,7,32,0.4321,0.6037,0.359
44251,2,2,0.0748,11.15,17,92,0.3587,0.427,0.4699
19508,1,2,0.0534,55.86,0,50,0.8311,0.7884,0.1693
26295,0,0,0.089,48.2,23,91,0.7307,0.5823,0.0928
40715,2,8,0.0212,22.58,19,8,0.6837,0.5008,0.5423
5773,0,6,0.1598,63.96,15,66,0.6037,0.7203,0.4296
9980,0,1,0.0989,57.41,1,12,0.4018,0.6807,0.1067
5785,0,0,0.0437,14.65,1,58,0.308,0.6014,0.0247
15470,0,0,0.0438,61.94,0,26,0.5959,0.8181,0.0587
30276,0,1,0.0035,54.35,12,49,0.6671,0.6938,0.2347
31290,2,3,0.1518,33.2,21,84,0.3207,0.4305,0.4596
28315,1,0,0.1969,21.32,5,64,0.8146,0.4227,0.1372
8047,0,4,0.0937,31.59,12,53,0.6064,0.5857,0.2087
3000,0,0,0.0137,29.56,22,17,0.5796,0.6495,0.0
25652,0,4,0.0519,43.33,17,84,0.7888,0.6573,0.2104
19339,0,2,0.0053,24.07,9,81,0.341,0.4986,0.2923
30513,0,1,0.1188,28.4,6,1,0.1436,0.4238,0.2075
33423,0,0,0.0557,52.86,2,46,0.5415,0.6079,0.2266
26659,0,2,0.074,66.32,12,32,0.4976,0.7774,0.1913
34122,0,1,0.1337,54.63,2,8,0.4307,0.4901,0.1498
27751,2,2,0.0975,65.34,9,83,0.4736,0.667,0.3952
31361,0,6,0.0697,39.15,6,40,0.5639,0.5663,0.3899
16544,0,0,0.0166,49.91,9,1,0.8227,0.7491,0.051
